Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
B.1.351.ID6_2nd	0.0441020321316328	0	0.0167722673632207	0.0903281545745635	0	0.187326280477997	0.0245110766919326	0	0	0	0.264137094442425	0	0	0	0	0.080804784422772	0.000844853501683751	0.0613182552158421	0.212785658887732	0	0	2.8247735422902	9999	0.670716137117091	0.793111069305817	3.807704
B.1.351.ID6_3rd	0.0202840356456707	0	0.0307288461565932	0.0565185800657549	0.139867433628462	0	0.0145475733262572	0	0	0	0.20710797060465	0	0	0	0	0.122678494101297	0	0.0498610037215739	0.0820192726803429	0	0	2.8734137900694	9999	0.762491779162679	0.697631493022718	3.597027
B.1.351.ID7_1st	0.166456184322334	0.452806300667459	0	0.307428772475841	0.330383941717512	0	0.0242924993249827	0	0	0	0.475301741747511	0	0	0	0	0.316316843071087	0	0.00605015454077376	0.389777101551945	0	0	3.68059546058056	9999	0.747099406244469	0.668787728342476	6.149409
B.1.351.ID7_2nd	0.128949820628463	0.447490953037699	0	0.15781454801757	0.173135759554108	0	0.00268883027645663	0.0643579320811462	0	0.0506760830223506	0.199434542433022	0	0.473698150643759	0	0	0.108851714818681	0	0.0886457546673893	0.262175620757705	0	0	3.10203129006165	9999	0.693774657636804	0.730768367701261	5.259951
B.1.351.ID7_3rd	0.432488750430685	0.1930528924534	0	0.905710970859785	0	0	0.371472862323723	0.0650361318123504	0	0	1.13061754674796	0	1.5262781667811	0	0	0	0	0.0198207320360651	0.0988551505337292	0	0	5.1737837960212	9999	0.724674068192124	0.692024239246507	9.917117
BNT_Aus_15_1	0.282379230080277	0.341615375540057	0	0.356697464837067	0.632879772731472	1.1403229924771	0.403680215752355	0	0	0	0.899668693427474	0	0	0	0	0.413769822405469	0.021417458038938	0	0.246719250972018	0	0	5.79282372373777	9999	0.72432478331195	0.691367345897454	10.531974
BNT_Aus_15_2	1.22895257390183	0	0	0.515995188296666	0.561179635314689	1.47766494261963	0.227342103696777	0	0	0	0.859099725889966	0	0.410065135664254	0	0	0.154931924632643	0	0	0.277495846030203	0	0	4.34484392395334	9999	0.619656402071475	0.785854290013076	10.057571
BNT_Aus_16_1	0	0.200663725047746	0	0.152016232788708	0.863532231708601	1.62699741567529	0.220019483799178	0	0	0	0.629775672894199	0	0	0	0	0.0274996649049831	0	0.00093081914112344	0.116160807511265	0	0	4.95643894652891	9999	0.729910594904247	0.685740281233802	8.794035
BNT_Aus_16_2	0.0911468216239046	0.354484753366068	0.0296844456646666	0.255003688204285	1.60586197996845	2.21005541887473	0.215455306443445	0	0	0	0.670019371929794	0	0.107490776345081	0	0	0.0555060002833214	0	0	0.18010531036142	0	0	4.43208712693483	9999	0.688595609772243	0.726760963901601	10.206901
BNT_Aus_19_1	0.420358231077981	0.264459110741763	0	1.10169910008625	1.42943485361073	0.750685654194229	0.110680394809834	0	0	0	1.07992044536469	0	0.240719218770081	0	0	0.752252783486307	0	0	0.149518884184457	0	0	2.34757732367367	9999	0.665223331449446	0.758726913309332	8.647306
