Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
Alpha_ID21_2nd,0.0160507779564871,0.0231502581647775,0,0.0579082960520617,0.0334569867194499,0.062912407234556,0.0341651013051665,0,0,0,0.0912956512292476,0,0.13692674449485,0,0,0.0307720170893873,0,0,0.0236305833443214,0,0,0.489731176409695,0,0.640977216742731,0.768994933614596
Alpha_ID22_2nd,0.000822620742824018,0.0120023773354945,0.00186300372458829,0.152827569279115,0,0.00869734784418754,0.0679696177419972,0,0,0,0.125988471277008,0,0.0253992994164861,0,0,0.00644759182603444,0,0,0.0190979287044674,0,0,0.578884172107797,0,0.76921074826302,0.641185554707309
Alpha_ID23_2nd,0.00101041211548317,0.00936071372533563,0.00128934094236054,0.0503951986204821,0.0155208702738553,0,0.0294414170699156,0,0,0,0.054900479734853,0,0.134941607734862,0,0,0.00700691401277867,0,0.00255035213459494,0.018258928907016,0,0,0.675323764728463,0,0.775957619932168,0.640505009981622
Alpha_ID26_1st,0,0.0362670463286353,0.00209825387891676,0,0.0211476191464796,0.00307481788818543,0.0197948491500328,0.000145858528943613,0,0,0.0366358466880586,0,0.00419584753607761,0,0,0,0,0.0163500643332305,0.0222703275850047,0,0,0.838019468936435,0,0.721915284878264,0.75098463842623
Alpha_ID27_1st,0.0156535425311389,0.0109861601599892,0.00676491903890642,0.0422211788036762,0,0.0621137873695135,0.0663660289074156,0,0,0,0.0941154528287009,0,0.0434543850430062,0,0,0.0169215279533483,0,0.00886361445771014,0.0433216229330309,0,0,0.589217779973564,0,0.768268016297598,0.641724833624401
Alpha_ID27_2nd,0.0206063335105586,0.0201132120517021,0,0.0822453275939581,0.0587607536525181,0.130374211857756,0.0417354057153671,0,0,0,0.112080460948411,0,0.112068811555507,0,0,0.000489758489523329,0,0.00111098084047072,0,0,0,0.420414743784227,0,0.80033722582584,0.62400717311476
Alpha_ID28_1st,0.023707124307548,0.0113143138044268,0.00348660660804413,0.00204919409145312,0.0682989171407476,0,0.0300617576225151,0,0,0,0.0602122729839612,0,0.0510867234405358,0,0,0.0331527879169287,0,0.0076360050222213,0.0524395274318523,0,0,0.656554769629766,0,0.739977957531472,0.679232760220214
Alpha_ID28_2nd,0.0420885736657406,0.00564413284076226,0,0.00461823901309598,0.0551374119371546,0,0.0146715264656474,0,0,0,0.0543128471197423,0,0.124863982638654,0,0,0.0234661396454421,0,0.00542396662754966,0.0254093621044421,0,0,0.644363817941769,0,0.780579179457558,0.629424947937179
Alpha_ID29_1st,0,0.0437801303796403,0.000839034948067445,0.0967256621803063,0.0781131122715721,0,0.0416217129465037,0.0167508854002315,0,0.00496166938687572,0.157369123154658,0,0.0186615070107744,0,0,0.0399228468691795,0.00650983088005313,0,0.0332473736226787,0,0.00153252178498804,0.459964589164471,0,0.696280200829016,0.720658593048931
Alpha_ID30_1st,0.0120828505699075,0,0.00424535138933013,0.0280708825853905,0,0.0697935194347183,0.0528438070446372,0,0,0,0.116069962304237,0,0.0852746295669416,0,0,0.0082647420268269,0,0.00407319897996256,0.0144545878257073,0,0,0.604826468272341,0,0.745944319375888,0.668625667279643
