Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
Alpha_EK_ID39_3rd,0.687710517176094,1.4010986356301,0,15.1751144624936,0,0.441959291179434,4.94092938555922,0,0,0,14.9259565731489,0,1.37700080928363,0,0.180284479943481,2.99480509358409,0.386484098764958,0,1.87448391115939,0,0,11.4807511888452,0,0.66493339116146,0.753729458710733,55.8665784467681
Alpha_EK_ID40_1st,0,2.54849091870461,0.169931243496726,9.51507532605166,0,1.84918469768985,6.02336323342624,0,0,0,17.0903721771249,0,14.533666193583,0,0.219288033769916,3.56210571227523,0,0,2.68780152814072,0,0,33.3156733749006,0,0.659368492298588,0.754017985500449,91.5149524391635
Alpha_EK_ID40_2nd,0,1.79562187709884,0.478707849274413,6.8411244012475,0.933303575651968,1.51832703895166,3.76995661986439,0,0,0,8.80192078273202,0,6.27916372682231,0,0,0.418931295194966,0,0,0.998330307123062,0,0,37.5558627427689,0,0.643675576840444,0.770580847133989,69.39125021673
Alpha_EK_ID40_3rd,0.863851489953474,0.560610866327927,0.0697737638428294,7.95039838002584,0.207432506905961,3.24474505631637,2.16104657465897,0.0585949483772568,0,0,8.90442537433181,0,1.66038114969026,0,0.14071380499916,2.42358730837675,0,0,0.0244891795163475,0,6.56096945647375,26.632151649709,0,0.704812857479,0.71339406040718,61.4631715095057
Alpha_EK_ID41_1st,0,2.91060182449428,0.258945976910022,0.00709662849406747,3.556398800993,1.73792310502769,2.80582672749294,0.893328903817318,0,0,6.28807013088638,0,5.00547174531455,0,0,2.97328401070813,0,0.935847103581194,4.46354613145776,0,0,75.3952691940926,0,0.763284159262243,0.657218546075385,107.23161028327
Alpha_EK_ID41_2nd,0.316961484075785,0,0.0810270013350125,4.41134986439405,1.11924598912465,0.787972208811825,2.22389681186369,0,0,0,6.28731907979362,0,9.83133338689652,0,0,1.46953083799013,0,0.0958855291017238,1.2129840286208,0,0,52.8718667437717,0,0.749778549329129,0.671168606054234,80.7093729657795
Alpha_EK_ID41_3rd,1.44010080773563,0,0.385170077404129,1.70686049956976,3.23715927330163,1.44649592131477,0.704163446201892,1.77599808677118,0,0,4.37965822954335,0,4.58214576811095,0,0,2.13922921935835,0,1.19618131803519,2.3508377559102,0,0,63.3936963686061,0,0.759088653860886,0.665751187327047,88.7376967718631
Alpha_ID42_1st,2.43352210607491,3.45815101529315,0.313251215761077,1.87400932262355,3.60741206755892,3.39022629958278,8.80449564773201,0,0,0,8.10931522263123,1.57778865478492,0,0,0.0890014443099731,1.93632818002288,0,0.351974812054533,4.99779331528093,0,0,77.8971865042739,0,0.741011273748259,0.676110211039057,118.840455807985
Alpha_ID42_2nd,1.90854686181358,2.63609352427211,0.0844011995615651,2.32293877911032,2.58522284505272,9.97533338240829,3.68806788309314,0,0,0,6.08251098650678,0,0,0,0.0705062721172361,3.76178238012216,0.116911974591826,0,1.70853622689547,0,0,56.4446888441506,0,0.77512689952202,0.633449342764543,91.3855411596958
Alpha_ID44_1st,1.71290754851891,1.51754950825104,0.627121944031822,3.1057158970995,1.97779165142797,2.97547383243581,1.77612096670286,0,0,3.25903318725603,6.65039431708203,0,6.52174782158021,0,0.142812615835261,4.54905932493353,0.394487590884755,0,2.77243624206205,0,0,63.2931822895408,0,0.764113327542581,0.647867566166434,101.275834737643
