Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
BNT_Convalescent_14_Day7,0.0605608568225159,0.0109999357260793,0,0.0900285517413572,0.0152829818936881,0.0696338685552065,0.0429247173257407,0,0,0.0274328586211374,0.0075594107002688,0.00248907468664833,0,0,0,0.0406164733381283,0.0014076228075063,0,0.052602441217909,0,0.0145123735106866,0.563948833053128,0,0.676234032435365,0.738562692061188
BNT_Convalescent_15_Day0,0.0886754885010904,0,0,0.0388788340155461,0.0406845524685629,0,0.032500699086732,0,0,0,0.125121442253436,0,0.122513842031198,0,0,0.00715554254977974,0,0,0.0275795371444311,0,0,0.516890061949224,0,0.742086873023469,0.672044704266855
BNT_Convalescent_15_Day1,0.026481434555439,0.0122369634980564,0,0.0074440267059016,0.0278598045360366,0,0.0485462623778732,0,0,0,0.100809188516311,0,0.0712578268076159,0,0,0.0146477344673459,0,0,0.0337351925205364,0,0,0.656981566014884,0,0.811330214179541,0.587224392588677
BNT_Convalescent_15_Day7,0.043735321027884,0.00842248177424093,0,0.00670134811360871,0.0524984113947067,0.00385235189324876,0.039635305405283,0,0,0,0.0509072905236397,0.00564380355539513,0.0035560213477989,0,0,0.0471368590010536,0.00104374215167765,0.0167994216611393,0.0641700191182438,0,0,0.65589762303208,0,0.719805477911642,0.701099697697788
BNT_Convalescent_16_Day0,0.0621748041325422,0.0165131833087174,0,0.0767071716876758,0.0602750981877413,0.125558869583694,0.0185411714501888,0,0,0,0.113513598998271,0.0131466779510748,0.172062747140587,0,0,0.0198247745200391,0,0.000496168057003995,0.0103119959250573,0,0,0.310873739057407,0,0.706269711114693,0.723582722989025
BNT_Convalescent_16_Day1,0.0310451379468814,0.00361054214506201,0,0.0117319528826789,0.0736925584446688,0.0168287415394792,0.0489623762813253,0,0,0,0.0482366338677009,0,0.0768525245566575,0,0,0.0131713465906213,0,0,0.0202379108463485,0,0,0.655630274898576,0,0.813247948802934,0.583987117836218
BNT_Convalescent_16_Day7,0.0399901115266036,0.0200346734027096,0,0.00444473321095674,0.00499715677938199,0.07712214001424,0.0455599754701989,0,0,0,0.0539403370504401,0,0.0835975444831591,0,0,0.01881620166809,0,0.0074084938890113,0.0306924482802972,0,0,0.613396184224911,0,0.550855776777391,0.867803550589763
BNT_Convalescent_1_Day0,0.0287281547530392,0.0178238681575443,0,0,0.0403420638526855,0,0.037575421735522,0,0,0.000902297942921322,0.0616352282235167,0,0.165940889217916,0,0,0.0374619457399535,0,0.00090028644371286,0.0397867755635043,0,0,0.568903068369685,0,0.777457842718741,0.629651839268595
BNT_Convalescent_1_Day1,0.0322505198547242,0.012120726391239,0,0,0.0308010248709327,0,0.0372646228326453,0,0,0,0.0620934745373523,0,0.124822502400753,0,0,0.016829151067869,0,0.00255646437301481,0.0366986563205399,0,0,0.64456285735093,0,0.808780753787353,0.590540669760066
BNT_Convalescent_1_Day7,0.0289316606266654,0.00977382289667832,0,0,0.0262141077836952,0.0619776198308441,0.0285588801289594,0,0,0,0.0472400122325183,0,0.0738436560454573,0,0,0.0193297277927707,0,0.00293717300631423,0.0333872294841215,0,0.0173274999815952,0.65047861019038,0,0.720557053647489,0.702861849180545
